"lane.1","lane.2","lane.3","lane.4"
125,113,104,124
32,23,30,35
31,35,26,40
30,22,19,20
22,20,19,26
20,15,20,30
35,16,24,30
22,21,26,38
24,44,29,46
23,29,18,31
18,32,20,29
15,25,25,34
14,16,17,20
23,19,25,19
24,26,26,36
30,41,40,41
22,21,16,22
37,32,28,30
121,153,141,172
29,29,27,31
22,13,21,24
26,32,30,34
26,29,31,22
38,37,38,40
69,59,74,72
13,32,22,29
32,34,38,25
70,61,67,64
48,47,42,52
27,31,18,34
48,52,38,61
85,96,98,121
29,26,35,18
38,42,38,55
21,32,22,36
26,24,25,37
23,20,20,18
23,27,25,29
39,37,40,41
22,18,25,41
23,28,29,19
41,31,37,36
19,25,24,24
21,26,21,31
26,31,33,49
40,32,38,38
35,42,32,37
48,45,61,53
31,30,25,36
31,20,19,28
35,22,13,31
69,71,70,89
202,209,252,257
71,75,65,82
81,68,82,92
27,15,12,24
20,28,31,28
18,23,22,19
32,33,38,35
11,35,15,23
21,30,20,23
26,19,25,25
37,29,30,43
25,16,24,18
21,36,45,50
20,28,25,20
22,19,23,20
274,362,298,370
28,21,24,20
33,17,15,30
16,29,27,32
16,28,19,34
14,29,19,31
27,14,23,22
21,19,23,25
26,38,27,37
24,25,31,44
24,32,29,35
29,23,21,25
33,23,20,20
19,19,21,24
23,29,29,55
17,23,19,16
20,22,19,34
26,22,21,25
23,28,39,30
26,24,23,23
133,115,122,146
18,16,39,31
31,26,21,23
22,19,23,30
17,20,27,25
40,41,35,49
22,18,17,31
37,45,35,37
53,65,73,67
30,39,45,29
22,23,30,29
26,23,35,38
35,40,27,37
156,141,137,186
33,41,42,61
23,25,28,32
19,21,22,25
17,27,31,42
12,22,21,26
19,25,23,30
24,29,26,38
16,21,20,26
39,35,45,48
32,32,33,30
25,30,34,44
15,29,30,29
36,23,25,32
63,66,61,95
19,25,25,35
30,29,25,36
26,31,23,22
27,35,31,35
24,31,38,41
21,17,21,30
36,25,30,32
51,43,35,53
31,17,18,26
34,29,27,37
54,53,49,80
29,39,23,29
30,21,28,31
17,19,23,25
35,34,47,34
78,69,87,108
33,33,30,38
32,19,19,18
47,40,54,64
18,23,16,18
12,19,29,26
24,43,28,31
34,35,27,37
23,35,30,37
36,30,27,48
20,23,22,29
22,31,13,20
15,27,32,24
20,26,27,46
26,27,24,37
29,32,34,32
33,39,39,46
22,25,22,26
21,14,17,24
40,49,32,49
41,38,42,41
24,28,37,47
38,40,42,48
12,23,31,37
27,37,38,28
52,58,54,59
26,23,20,19
46,35,41,41
16,19,16,23
46,34,38,36
51,63,52,65
14,24,23,26
23,27,25,23
27,18,20,38
31,37,32,55
63,63,65,66
51,40,58,62
16,20,19,35
25,24,18,22
34,20,27,35
17,23,18,29
47,50,48,60
26,31,29,30
29,36,27,30
79,87,79,85
20,31,25,34
28,26,25,32
27,36,34,25
27,34,41,35
77,90,91,112
31,23,30,35
37,30,47,32
22,20,22,32
54,60,81,73
41,21,26,36
42,56,33,46
37,41,38,41
61,60,53,60
37,35,35,44
26,36,25,36
37,38,38,49
32,41,48,38
36,41,47,34
21,21,18,25
19,25,22,35
29,21,29,26
48,27,45,50
18,18,18,29
30,20,24,19
21,25,19,24
23,34,24,35
35,32,49,40
60,57,43,59
45,50,41,59
22,20,22,26
23,29,12,28
23,25,24,26
113,106,104,121
27,22,31,43
24,15,34,16
102,106,98,112
24,34,23,30
34,23,34,31
28,36,30,18
20,27,29,36
28,25,29,30
153,138,144,191
46,40,49,55
42,33,45,43
83,79,71,92
45,49,29,43
165,155,179,216
28,19,20,18
18,38,27,47
30,20,20,24
21,21,29,17
24,34,29,43
21,20,23,30
41,47,29,46
138,114,137,169
21,22,34,25
38,28,28,30
21,20,27,20
27,36,37,49
26,23,23,32
31,19,20,24
14,22,26,38
35,37,46,41
23,28,14,34
23,17,29,24
36,18,26,34
33,29,32,31
72,73,65,74
42,23,25,25
23,26,20,26
22,20,15,18
31,34,37,26
70,77,73,100
43,49,64,80
35,36,22,31
12,20,21,20
19,30,15,29
24,19,24,22
40,43,46,52
30,22,27,41
24,22,26,30
19,31,22,34
18,22,18,32
15,25,25,24
21,20,19,28
25,18,28,17
72,80,75,91
24,30,31,31
308,314,286,354
21,19,17,20
30,36,36,38
366,333,339,371
43,25,28,44
30,53,45,46
20,20,22,32
23,23,23,17
70,58,59,77
67,53,59,62
53,47,46,68
35,35,33,47
36,27,27,37
281,248,239,328
18,18,28,23
62,67,77,72
32,25,19,29
20,24,15,30
19,15,33,30
27,16,28,20
23,33,25,44
49,47,35,48
21,18,19,26
96,94,77,115
67,56,50,78
31,36,41,46
31,17,31,28
22,24,24,26
35,26,41,25
14,28,31,28
25,27,19,35
182,180,160,224
20,37,34,25
56,55,55,84
44,43,58,56
26,40,28,49
22,31,30,37
31,27,17,36
21,22,21,24
22,30,26,30
19,15,18,25
253,237,256,245
58,66,79,79
121,113,100,142
21,30,22,31
20,21,15,35
15,22,20,24
446,421,425,520
23,18,24,18
25,16,16,22
23,21,19,25
277,275,265,282
19,19,27,36
18,27,22,22
18,19,14,28
51,43,56,70
18,18,18,20
16,26,18,20
24,18,24,24
32,30,37,50
72,84,79,68
22,21,22,18
32,22,34,38
22,22,25,36
27,29,20,32
213,234,266,280
32,25,30,38
44,31,55,50
18,21,23,30
30,31,49,46
54,38,40,38
20,30,25,31
25,28,27,23
45,52,50,59
25,26,25,31
33,28,30,35
24,24,12,22
33,26,29,26
29,34,34,28
26,22,20,28
37,28,46,37
21,27,34,29
35,31,33,37
474,473,483,611
23,28,16,38
21,23,19,24
143,113,115,148
33,30,26,28
16,24,17,31
23,26,20,28
27,29,14,28
22,18,17,28
39,37,40,49
27,26,21,35
20,27,19,29
27,26,34,24
22,13,23,30
34,27,40,50
54,55,68,71
23,24,29,20
46,30,30,43
60,62,53,66
22,18,22,40
34,36,32,40
28,29,33,37
33,33,44,40
108,111,107,116
24,24,24,37
105,127,130,143
33,46,40,37
48,44,30,46
17,20,16,35
44,39,41,59
50,48,36,44
15,19,11,19
34,31,39,40
28,34,31,23
20,18,17,26
12,18,20,25
39,33,20,26
29,24,22,46
50,53,50,66
23,25,15,31
22,30,17,34
37,45,28,50
41,45,54,67
24,26,28,36
32,29,26,30
28,37,31,43
41,41,33,52
30,39,43,34
21,27,25,26
32,47,35,32
25,22,27,34
66,52,53,85
25,28,23,28
71,70,87,94
63,52,62,62
29,28,34,32
22,23,13,18
23,22,29,23
21,23,23,29
27,33,26,36
53,59,54,70
100,96,103,120
22,28,27,28
76,68,91,98
19,30,20,18
24,27,17,28
36,28,22,43
25,20,19,18
41,35,39,34
36,31,32,43
15,20,13,22
23,24,25,28
35,58,47,50
117,92,87,107
61,72,54,70
19,23,24,34
28,22,30,35
32,24,27,29
18,22,18,26
34,28,35,34
34,24,32,30
24,26,24,24
34,26,30,38
20,27,33,26
27,19,16,32
25,29,29,31
30,22,25,29
35,28,28,24
28,22,22,34
32,18,37,31
28,28,28,46
23,20,30,42
27,24,29,42
27,33,37,40
83,94,72,118
94,100,90,116
21,22,26,29
19,16,28,38
20,25,32,38
33,21,18,29
30,35,28,19
35,26,24,26
45,44,50,60
36,38,51,67
22,20,26,19
23,32,28,35
14,24,25,26
58,76,62,82
88,84,70,98
22,24,15,29
50,44,48,66
63,77,52,56
28,28,35,30
53,63,62,72
41,25,38,31
27,35,37,49
24,19,20,24
28,22,21,19
21,23,14,20
22,27,22,34
23,16,20,31
25,28,22,37
20,32,17,29
36,32,24,28
28,24,27,29
21,30,23,34
40,28,37,48
36,23,33,44
23,30,27,25
21,22,17,26
29,23,28,20
104,94,80,104
17,30,21,34
44,32,37,54
43,46,51,50
26,22,31,46
24,16,29,30
21,18,19,17
21,16,24,30
30,38,28,24
17,17,19,26
24,28,27,28
41,28,35,31
45,40,32,53
220,243,223,299
48,38,34,47
36,26,39,24
27,26,23,47
28,28,22,37
47,50,38,56
23,21,24,29
18,37,29,32
25,18,15,22
54,47,54,59
96,88,89,118
29,26,26,30
26,22,15,23
22,31,28,30
27,26,37,37
28,17,24,34
36,27,37,38
28,24,19,28
26,21,26,40
12,29,15,29
20,25,26,26
22,14,20,23
31,29,32,35
18,25,27,23
26,26,26,31
35,33,35,64
47,65,52,62
60,54,71,90
29,31,27,34
13,19,26,28
26,19,26,18
30,34,31,53
20,24,23,20
21,35,28,48
61,57,58,74
40,39,39,55
62,36,30,52
27,29,30,35
26,25,24,20
30,18,25,25
27,21,21,22
22,21,24,42
53,71,67,79
91,76,94,104
23,18,23,34
59,49,51,80
19,20,20,24
31,25,31,37
18,18,19,28
19,22,26,32
34,23,22,31
22,35,39,43
34,29,40,40
23,31,27,31
65,57,79,73
46,49,49,55
21,15,22,31
27,34,35,26
37,38,35,32
119,126,120,158
31,46,42,49
33,31,31,44
54,67,68,70
51,55,49,66
16,31,30,41
41,34,44,38
55,55,68,74
18,14,19,26
28,14,18,25
19,25,21,32
16,16,27,34
17,24,12,20
28,31,31,43
86,88,82,128
60,62,73,62
21,25,32,29
20,17,29,36
14,24,29,24
27,20,20,26
15,29,21,22
24,22,28,36
25,23,24,20
43,40,34,61
24,19,17,29
31,25,17,41
36,43,40,28
17,23,17,26
19,33,24,25
35,32,25,18
48,49,49,56
90,95,68,128
34,34,34,44
106,108,92,101
19,20,14,28
96,124,89,136
35,33,25,36
25,27,20,23
35,40,53,34
27,27,37,30
20,25,35,37
29,22,22,23
23,14,23,14
45,42,55,53
24,31,37,49
27,32,22,25
24,21,29,29
29,29,23,40
72,78,96,104
22,13,27,22
30,22,25,23
299,288,300,336
31,36,26,25
52,52,45,59
27,19,29,36
19,19,20,26
37,24,31,25
29,20,17,26
23,22,25,24
56,56,56,48
47,61,64,77
31,29,28,24
25,28,26,29
46,34,32,42
107,91,78,104
30,31,31,41
14,25,17,29
123,119,115,157
34,43,43,47
35,30,44,42
30,35,18,38
38,35,38,44
27,18,25,20
31,23,22,24
25,23,19,31
46,42,47,50
22,29,18,24
18,21,29,25
21,22,19,28
20,28,18,25
29,13,28,31
103,95,86,96
89,82,93,79
23,20,22,22
23,13,21,22
24,25,25,24
61,77,64,88
22,28,16,25
106,109,89,132
74,78,58,84
24,26,22,38
40,36,32,43
36,18,26,32
27,31,19,20
23,24,18,29
24,20,16,23
29,23,19,42
23,20,29,35
31,32,38,23
143,141,162,202
29,12,17,34
25,26,22,24
38,23,14,18
30,33,37,37
48,45,58,64
18,24,21,32
19,17,27,32
29,23,27,29
24,22,31,35
30,48,38,32
38,52,48,82
78,73,93,95
22,24,15,30
26,29,33,38
19,22,18,38
23,26,27,24
28,19,28,34
35,33,26,23
32,31,37,32
18,30,11,20
145,143,133,157
32,28,35,35
25,23,17,30
15,28,20,29
29,22,34,31
34,24,22,32
51,52,64,76
29,36,27,31
18,21,28,34
25,24,32,36
29,20,24,34
25,19,26,41
75,92,85,107
34,33,31,43
22,29,28,32
72,70,74,73
21,21,27,40
27,17,22,20
105,88,86,96
29,23,22,29
46,48,54,59
26,30,31,26
21,21,32,40
47,39,37,49
18,20,22,26
25,20,12,16
63,65,64,82
27,21,18,30
31,36,36,32
25,24,25,26
35,14,24,32
33,32,37,37
18,21,25,26
26,32,24,30
43,47,52,47
49,43,44,48
34,39,36,59
19,18,28,24
44,41,30,59
26,34,28,42
27,30,25,23
27,27,20,19
32,25,23,30
47,36,32,41
23,28,20,31
23,12,15,18
46,41,51,61
23,28,29,34
37,33,20,38
19,23,25,25
33,23,32,26
19,15,18,26
26,28,23,30
18,22,32,28
107,135,112,148
56,55,64,67
41,32,40,34
28,28,33,24
22,24,23,40
26,22,26,42
34,37,50,32
19,20,23,28
36,37,44,47
23,30,23,43
28,33,28,34
28,25,28,34
34,33,34,47
31,39,18,29
113,123,103,150
33,36,51,41
40,38,37,35
35,17,22,31
34,32,31,49
85,86,88,103
78,78,78,102
56,60,54,60
13,21,27,28
21,18,39,25
27,24,37,30
23,25,29,26
24,33,35,49
25,36,31,42
47,63,47,64
59,50,77,68
20,23,28,26
30,41,35,41
14,16,25,30
25,26,14,20
22,15,21,34
26,15,24,34
31,32,38,37
22,23,28,35
31,21,20,20
37,32,44,47
23,20,23,20
51,47,51,54
35,21,35,41
21,26,19,22
22,23,22,20
198,197,203,248
37,32,45,50
33,26,33,38
46,26,28,37
25,25,27,23
52,48,42,49
32,31,34,28
25,29,40,43
26,34,24,29
30,22,26,26
18,19,25,37
41,38,28,44
26,40,32,34
33,33,37,44
20,19,26,32
34,33,39,37
201,185,182,241
24,21,29,32
19,30,29,30
62,59,77,64
19,15,28,38
37,46,44,62
22,20,25,35
18,26,24,25
31,20,23,25
45,49,41,67
64,73,70,73
63,56,66,65
20,15,16,42
20,21,25,25
34,33,31,38
56,36,42,66
22,26,25,31
32,30,17,30
23,31,24,18
27,32,30,30
26,26,27,25
99,79,101,122
21,24,19,32
78,59,75,106
23,17,28,31
40,34,31,31
24,25,18,32
23,33,13,26
21,25,31,36
34,43,25,41
46,40,41,48
18,20,12,23
20,20,29,17
21,28,26,17
28,23,28,28
32,27,33,26
28,20,16,30
29,18,21,24
12,16,22,22
13,18,20,32
16,24,15,22
20,15,23,30
14,15,26,32
27,26,33,37
23,15,32,25
24,24,30,28
22,21,22,20
23,29,34,26
22,19,22,26
36,35,35,41
28,26,23,25
21,24,26,25
48,43,45,62
24,25,17,32
25,25,25,30
16,18,10,35
46,34,37,35
29,28,28,42
111,102,112,137
20,25,17,16
20,18,19,30
15,18,34,17
25,22,32,28
20,25,23,24
24,18,16,22
36,46,46,50
26,39,25,29
23,32,27,38
29,25,39,37
16,26,15,25
28,21,28,36
28,29,38,37
21,26,25,35
68,81,73,113
214,215,205,238
21,25,19,34
28,31,32,40
39,40,32,30
133,161,160,170
186,183,220,256
20,25,18,29
39,32,35,41
92,82,68,107
60,51,74,71
32,24,21,29
33,26,19,32
14,28,15,29
34,31,30,42
18,14,16,24
23,32,21,25
20,19,20,28
32,23,29,38
91,114,111,124
50,54,39,49
30,40,27,40
17,25,28,26
43,37,39,35
32,33,29,36
48,53,46,58
40,42,67,70
27,31,34,49
19,31,25,31
29,34,22,22
17,21,27,32
21,26,26,23
30,27,24,36
28,22,13,25
28,23,20,31
23,25,33,31
28,30,17,28
42,28,37,46
31,24,34,29
36,32,38,47
14,18,25,22
22,14,20,38
31,25,29,36
25,17,18,34
23,25,31,29
34,37,35,24
26,27,34,31
19,24,25,22
53,43,40,64
85,62,85,115
11,18,31,17
22,27,20,24
21,21,24,34
35,38,30,30
34,37,34,29
38,40,38,52
40,36,40,52
468,436,395,529
18,31,27,46
20,35,22,28
21,20,21,28
47,53,44,40
20,14,38,34
18,25,23,37
25,26,33,40
31,26,28,31
44,45,49,46
30,24,26,23
19,25,26,24
40,33,38,42
21,14,23,17
19,23,22,36
31,33,29,44
98,99,86,118
22,24,24,32
26,16,15,29
32,18,30,30
61,49,61,61
15,24,28,34
21,18,16,20
21,28,18,40
19,24,20,31
25,18,28,35
25,23,26,20
36,35,34,46
20,26,27,35
36,35,34,54
29,26,20,24
15,20,18,20
15,14,16,32
21,31,25,28
29,22,24,44
19,31,33,32
30,34,20,23
58,54,40,48
105,106,107,109
66,59,75,90
31,28,28,34
25,31,25,23
203,198,207,269
27,27,27,47
21,19,23,35
31,43,31,46
42,27,39,46
40,37,46,30
22,25,29,30
34,33,39,43
26,35,29,28
23,15,19,19
75,91,87,84
23,24,23,25
29,31,43,29
60,67,65,66
15,29,27,36
134,153,142,203
51,30,40,41
22,28,22,18
34,19,30,23
42,53,47,44
21,31,22,22
34,23,25,20
25,23,22,20
40,36,47,55
19,26,24,41
26,12,25,24
32,51,44,50
21,15,21,36
32,43,35,41
38,41,36,46
17,20,17,24
15,11,27,14
24,22,24,28
27,24,21,38
46,47,47,59
215,246,208,283
28,18,21,19
36,36,26,37
21,24,22,20
57,53,57,66
24,22,24,30
20,20,26,30
30,35,19,34
45,45,51,56
28,26,32,44
43,30,33,44
25,46,38,46
16,24,25,32
30,18,20,18
24,15,23,17
30,23,19,35
43,32,37,41
59,58,64,77
29,28,26,30
22,36,20,34
32,23,19,31
34,19,23,24
26,20,28,34
22,24,35,40
16,16,22,19
27,29,36,31
30,27,32,37
27342,27537,27525,33038
18,19,19,24
31,35,33,32
50,50,49,56
47,42,56,58
40,35,46,50
25,38,28,28
18,27,13,24
25,33,21,34
21,33,36,29
27,24,32,37
38,47,45,52
50,43,47,67
34,29,24,29
34,43,32,53
33,42,55,40
30,19,24,26
61,74,71,80
31,31,30,34
23,26,24,29
24,21,28,31
33,29,34,41
94,83,107,113
87,78,84,77
11,29,32,24
29,30,27,24
25,31,33,30
25,43,27,38
36,33,34,40
56,48,71,68
49,38,55,47
36,33,27,46
53,41,51,55
55,57,62,68
18,19,21,29
23,27,16,20
21,28,19,20
21,22,18,29
29,23,16,20
25,31,22,24
65,60,76,71
56,48,63,65
43,59,33,59
25,18,21,18
23,28,26,23
27,24,27,25
12,21,23,20
13,24,22,23
21,19,23,26
35,49,35,38
27,15,30,29
35,20,25,26
28,45,54,67
19,33,26,30
27,35,24,23
33,27,32,29
53,59,70,53
24,28,27,24
58,52,63,84
27,17,22,28
21,25,27,20
29,22,26,34
25,27,26,30
24,18,23,19
24,18,25,12
23,16,19,29
30,28,25,41
57,63,64,71
25,20,21,23
25,25,20,38
21,15,23,22
81,94,75,92
20,14,19,26
43,38,40,41
30,43,35,36
81,82,96,96
39,28,22,32
21,28,27,38
26,33,32,38
37,30,20,32
72,69,66,95
25,23,16,22
36,23,30,34
55,39,34,52
21,20,24,32
24,25,16,28
22,29,18,31
41,33,33,38
24,28,22,24
34,41,43,40
106,111,104,127
40,53,56,42
23,12,21,35
24,30,33,28
37,32,35,43
45,44,47,54
26,16,29,34
30,31,30,35
25,32,25,38
56,76,74,82
29,28,33,44
23,24,23,30
16,23,22,22
23,36,19,23
24,34,30,26
104,96,98,139
22,24,22,28
34,38,50,42
25,26,30,36
26,20,28,24
28,33,34,46
17,26,21,29
35,31,27,49
37,37,28,48
23,22,23,23
94,79,91,112
88,76,68,102
32,33,28,30
25,25,21,23
30,34,33,52
34,40,32,41
13,28,38,38
20,30,21,24
28,29,18,25
74,86,84,102
29,14,19,25
27,27,22,46
22,22,20,18
20,26,13,38
21,18,34,31
22,32,32,18
36,27,33,31
17,21,23,24
33,35,23,37
48,54,45,66
30,50,45,50
32,23,21,26
26,27,28,41
25,27,25,34
108,131,132,162
28,33,21,40
19,39,20,29
31,30,21,32
37,37,34,41
38,31,30,61
20,32,30,35
94,102,90,107
37,47,35,44
50,39,27,40
114,99,107,131
23,33,31,31
21,28,29,37
29,15,25,23
15,17,11,14
26,26,26,37
29,28,33,24
25,29,27,47
46,32,41,43
18,18,17,23
19,24,22,19
25,21,29,24
115,122,99,137
22,20,22,25
28,44,33,43
31,32,27,38
20,22,23,20
12,24,26,19
27,32,34,34
41,37,38,38
25,29,26,24
122,114,114,163
25,19,27,34
26,22,28,30
23,20,22,28
1162,1258,1198,1424
32,23,28,31
26,35,34,38
31,34,33,38
29,17,14,23
27,31,39,42
92,85,88,102
32,21,28,12
16,24,23,26
28,24,12,28
39,38,32,49
23,19,22,42
35,25,34,43
28,29,28,36
26,20,20,35
62,58,52,73
49,31,39,47
36,34,28,47
21,20,19,29
20,15,19,34
47,47,41,56
20,18,14,26
28,24,25,29
32,24,36,31
30,29,34,29
48,40,34,56
41,41,58,71
25,29,20,22
29,26,17,31
905,896,893,1058
36,32,30,44
18,23,21,35
48,37,34,55
12,24,19,36
21,26,24,47
43,42,38,62
42,45,38,43
18,18,31,25
50,57,57,59
47,40,35,43
35,45,41,32
28,29,31,34
37,25,29,31
25,28,16,29
32,42,42,46
119,109,126,162
26,23,26,26
48,49,52,59
16,19,18,16
17,29,25,24
20,29,27,34
30,29,44,42
26,25,35,29
206,216,196,223
37,38,38,38
19,16,20,26
26,25,18,22
35,55,34,49
36,41,42,52
17,23,24,25
19,24,30,31
43,39,50,42
28,20,18,34
38,17,24,31
35,39,31,35
26,20,15,13
76,82,93,108
24,17,14,19
15,20,23,28
15,20,17,23
26,18,21,24
19,27,21,31
27,33,24,36
35,45,49,60
24,19,17,35
38,42,23,46
27,43,37,36
20,20,21,36
35,25,24,37
30,23,23,36
20,23,17,34
31,32,21,17
19,27,24,25
29,18,20,31
25,39,31,37
28,20,15,28
16,27,21,23
23,35,28,38
21,28,20,28
18,27,16,26
14,20,17,34
85,111,118,132
26,13,24,28
47,48,51,58
33,21,26,31
23,21,19,26
20,29,21,29
17,21,25,30
55,57,55,50
29,33,23,36
24,22,21,25
25,28,21,24
30,27,16,18
19,28,30,30
25,21,20,23
79,50,72,71
26,28,25,25
18,18,22,22
38,35,42,49
20,23,17,19
20,18,22,32
48,61,67,84
24,25,31,28
49,42,38,48
21,34,20,37
23,27,30,32
19,21,20,19
20,26,29,24
37,28,25,28
37,36,30,32
61,62,64,66
40,41,26,42
30,25,36,40
21,29,29,30
20,22,23,25
87,76,92,108
91,93,89,100
38,27,26,28
20,32,25,26
70,59,74,85
31,39,26,38
18,32,11,26
226,207,227,235
61,45,53,90
140,128,138,164
17,17,23,25
16,20,16,26
21,15,26,24
27,27,25,18
69,64,60,72
23,18,19,43
726,780,740,894
22,18,28,23
35,37,23,44
30,19,19,31
16,30,24,34
18,22,18,25
170,154,184,223
23,20,24,36
288,276,274,359
27,32,25,42
29,52,43,55
77,73,77,73
19,23,26,35
53,51,36,42
18,21,26,31
23,30,24,29
31,22,24,31
63,73,61,84
19,26,29,30
19,16,21,44
64,80,51,82
100,87,100,108
21,28,24,22
21,23,22,25
34,27,30,41
24,20,20,22
42,53,65,71
17,34,24,31
21,19,21,26
23,19,33,40
26,28,24,35
31,27,30,19
43,35,47,44
21,18,25,18
20,19,15,26
31,41,20,36
28,28,18,29
26,15,33,25
109,97,99,106
29,20,29,37
27,23,26,31
25,23,21,28
36,22,25,49
21,22,22,25
51,40,36,52
20,28,23,26
35,32,40,48
21,24,13,37
19,17,16,14
25,26,31,26
5283,5153,5330,6146
29,30,25,49
43,45,54,55
68,69,75,89
24,25,20,36
71,78,85,95
64,50,63,80
229,247,217,296
32,41,35,32
16,20,25,20
32,39,40,52
22,16,29,26
41,49,62,52
25,36,36,32
25,23,20,30
40,26,31,20
28,26,22,24
24,20,31,32
32,26,29,24
98,95,83,104
26,17,23,25
29,23,26,20
56,63,56,60
28,27,20,24
31,20,30,25
19,31,25,26
74,69,72,95
28,15,32,18
43,40,45,48
261,285,283,337
87,93,77,114
16,26,22,32
21,15,28,17
142,138,154,182
28,27,17,25
32,47,39,47
24,34,29,31
24,33,16,26
103,78,98,118
21,18,19,25
46,45,38,48
29,47,34,52
38,31,35,43
37,34,59,52
58,56,78,60
60,77,63,100
29,38,37,40
29,31,30,40
31,25,21,31
27,41,24,41
16,18,19,24
1013,1047,976,1212
25,32,27,41
54,54,56,84
42,38,49,48
30,33,33,31
47,44,46,44
81,84,78,78
65,68,70,67
26,39,23,37
32,32,37,31
25,22,28,40
28,25,31,17
26,38,32,31
63,68,60,71
27,22,18,36
41,33,46,62
27,18,23,20
105,102,96,109
20,28,24,29
25,25,20,31
31,32,37,32
2496,2383,2464,2968
38,43,32,53
24,31,17,31
33,31,32,43
37,31,23,19
21,33,35,23
27,23,35,35
34,29,23,49
30,35,21,41
27,37,34,24
265,269,263,317
39,35,39,38
24,22,24,34
16,26,18,28
30,34,31,30
29,33,34,41
32,26,31,31
33,36,27,41
31,31,29,28
17,19,22,34
27,28,27,41
27,29,32,30
18,18,18,16
18,23,24,34
50,56,43,52
25,41,51,61
16,34,23,28
20,20,21,32
53,45,51,68
20,19,19,40
31,25,31,31
34,34,45,36
20,29,32,30
20,11,19,24
163,157,174,194
239,236,239,276
110,133,116,136
20,19,20,11
36,48,46,46
40,39,44,41
16,16,24,16
13,23,27,26
59,56,71,73
25,29,18,26
27,26,14,26
16,22,30,28
55,61,60,73
23,19,17,16
24,27,26,36
22,28,20,29
21,23,18,23
36,29,30,36
25,30,26,23
31,28,32,25
24,20,20,22
19,33,33,24
36,37,35,36
24,21,18,28
32,25,24,29
51,46,44,61
27,28,31,35
22,23,27,18
34,31,36,41
35,21,24,25
76,50,67,71
54,48,47,73
57,54,56,89
20,29,26,14
15,29,22,26
22,21,26,28
48,51,51,59
46,33,36,24
51,35,32,34
22,23,18,28
24,27,28,26
19,36,27,32
27,27,27,30
35,30,34,31
22,23,22,26
19,36,33,32
25,18,17,30
20,25,24,24
77,87,71,95
20,17,25,20
66,47,52,72
12,18,21,20
61,45,46,58
19,18,19,29
71,70,54,61
39,37,33,41
24,31,24,35
37,38,37,59
60,53,57,61
61,59,68,58
68,66,76,84
32,24,22,24
61,61,62,70
29,29,22,24
33,31,26,54
20,19,19,20
17,17,21,36
45,46,40,30
39,46,40,43
25,22,31,40
27,28,25,22
40,46,47,37
63,52,51,80
14,28,17,28
154,151,144,232
21,17,18,17
47,57,41,54
27,26,30,37
40,37,36,40
24,18,22,28
23,26,27,31
24,23,20,24
48,61,44,40
38,36,48,37
18,19,21,41
280,256,271,312
28,29,23,26
39,52,24,42
23,26,28,26
73,83,65,80
27,32,34,35
26,23,21,31
30,46,35,35
18,22,14,31
97,111,104,138
153,153,169,179
24,27,21,34
23,22,18,26
23,21,23,29
20,13,18,31
23,22,18,24
29,36,30,37
33,34,35,38
48,50,52,46
21,21,26,22
28,35,26,23
21,32,30,31
28,24,24,32
26,31,39,44
33,22,37,44
37,25,30,22
29,29,39,32
41,26,18,29
23,30,27,32
29,25,41,37
16,21,30,31
17,21,24,26
32,42,29,46
26,18,21,40
14,21,28,19
32,49,27,56
76,78,75,106
27,24,37,50
31,22,22,49
15,16,18,28
89,76,112,109
31,32,19,37
16,31,16,24
20,28,29,31
25,22,28,37
13,21,19,25
28,25,33,35
75,64,65,97
23,26,18,46
17,18,18,26
32,36,44,38
26,13,39,20
59,45,44,70
29,29,24,49
21,14,23,37
31,33,26,34
22,25,23,31
35,21,18,34
21,22,16,17
30,31,26,36
39,39,23,60
38,41,44,46
32,26,19,19
28,29,30,40
40,24,29,47
35,32,35,24
183,191,186,204
27,19,23,25
24,19,28,25
82,85,83,107
26,35,33,44
22,28,28,18
45,54,58,55
21,33,43,36
23,26,17,26
33,32,30,46
18,20,17,29
23,20,26,25
17,19,21,31
35,38,33,46
35,28,38,49
29,31,36,31
28,22,23,31
41,38,39,50
21,26,30,19
34,34,40,44
345,323,329,396
25,21,30,28
26,23,20,16
22,20,22,29
87,106,91,107
55,34,36,35
31,33,18,25
36,33,26,35
51,41,39,49
35,29,23,31
16,26,22,28
38,29,29,54
20,22,22,22
31,20,21,23
30,25,34,26
23,26,24,30
28,29,34,48
30,29,25,30
18,35,28,24
23,19,20,14
23,23,26,23
23,17,23,24
103,93,95,131
43,47,50,66
28,13,26,22
38,39,34,49
22,23,30,36
27,23,33,36
31,28,29,32
62,54,60,94
28,19,30,12
35,31,34,36
32,37,29,47
30,25,13,34
28,31,28,28
18,23,35,29
20,23,27,26
29,21,26,36
26,28,38,35
38,33,25,22
24,20,14,18
22,19,24,25
36,19,19,23
29,27,27,41
24,20,22,16
28,23,28,23
41,36,35,34
19,30,27,37
21,26,21,19
29,34,37,26
25,24,16,25
33,53,39,50
41,43,44,38
56,51,52,68
121,103,109,151
16,20,28,29
23,18,31,30
23,20,25,26
34,31,21,30
28,28,26,31
43,33,38,37
88,97,80,109
28,23,30,42
22,31,22,30
25,17,20,19
22,33,13,40
23,20,19,36
75,69,63,77
49,62,55,72
31,38,40,35
28,27,26,26
20,25,25,22
28,19,20,19
50,50,43,66
29,25,27,26
40,29,35,44
30,33,31,34
29,23,24,31
38,47,48,66
18,19,20,22
29,37,23,36
27,25,20,29
29,35,18,37
37,29,34,44
