"sample1.1","sample1.2","sample1.3","sample2.1","sample2.2","sample2.3"
0,1,0,0,0,0
0,0,0,0,0,0
14,42,20,48,22,33
0,0,0,0,0,0
475,920,474,68,164,150
7,4,2,3,0,2
30,32,22,23,22,21
29,20,69,4,15,1
27,35,47,29,19,50
1,0,0,0,2,3
45,14,16,13,4,7
68,92,84,54,147,183
462,355,260,183,465,269
39,36,10,35,18,16
90,2,88,286,348,115
55,73,37,46,51,40
850,1316,511,249,1797,32
1,1,4,0,2,0
342,150,47,437,107,141
921,704,2534,135,65,26
0,2,5,0,1,4
22,6,5,47,38,39
55,84,67,17,53,62
1,0,3,176,118,30
9,18,16,13,8,9
0,0,0,0,0,0
39,38,19,4,46,6
13,18,9,12,5,12
558,573,509,534,543,479
13,8,4,4,7,5
0,0,2,0,1,0
928,48,68,16,190,35
50,142,81,93,3,71
5,3,5,7,7,4
16,8,6,13,0,2
2,0,1,3,0,5
731,442,611,433,526,661
2067,1922,2032,1886,1665,1716
42,195,411,1,9,18
214,122,80,52,119,266
1042,2621,1298,1741,933,1061
439,685,205,778,785,570
197,354,499,40,186,132
9,14,16,15,15,13
324,416,469,391,225,76
13,333,2231,607,0,1447
139,343,104,160,94,107
168,131,243,143,218,117
14,13,23,15,5,7
6,3,4,22,18,23
195,76,183,70,237,141
1,1,0,0,2,1
328,30,6,297,107,270
957,455,598,407,515,374
125,63,188,298,259,98
15,102,60,196,3,70
7,10,3,2,8,6
4,1,2,102,84,335
692,856,500,587,559,386
1,1,0,0,0,0
362,403,188,187,483,223
9,8,38,9,6,21
867,103,294,192,302,181
597,200,118,330,281,318
0,1,4,1,1,0
2,0,4,0,0,0
21,4,20,29,16,24
10,11,14,25,35,46
72,87,93,63,68,58
4,2,0,1,4,3
10946,4956,2991,395,763,752
282,407,459,174,334,310
9,4,1,20,8,3
62,130,73,129,131,46
4,2,4,0,2,5
12,46,20,20,31,33
0,0,0,0,0,0
1,3,4,3,6,4
373,319,395,294,318,271
13,18,17,9,8,16
101,213,213,195,190,50
94,102,85,91,78,85
451,393,425,496,489,315
0,0,0,0,0,0
45,87,79,89,36,14
1,0,2,2,1,0
13,12,6,13,4,13
0,0,0,0,0,0
10,40,218,31,69,58
0,0,0,0,0,0
9,31,30,44,69,60
0,0,0,0,0,1
6,2,2,3,2,6
0,0,0,0,1,0
0,0,0,0,0,0
36,167,88,71,82,65
20,45,85,35,65,88
1052,680,467,415,281,1004
183,326,1274,5738,1952,5071
100,96,79,92,70,74
4,8,16,9,19,8
0,0,0,0,0,0
654,336,597,597,500,446
369,299,295,182,287,266
0,1,0,1,2,4
17,44,97,160,80,436
3,23,9,0,11,14
271,278,285,2037,1899,1503
298,0,146,30,151,226
106,40,1,165,14,325
48,63,50,57,68,41
3,4,0,1,5,6
3,1,2,0,4,1
3,6,4,6,1,2
0,0,0,0,0,0
0,0,0,1,0,1
427,444,683,65,486,115
2569,2603,1627,398,1842,44
12,6,6,7,5,4
0,0,0,0,0,0
5,92,193,254,63,76
142,184,215,356,132,251
211,540,141,179,532,743
970,1568,824,415,71,1492
1,0,1,1,0,0
38,43,38,36,25,8
238,154,93,119,237,180
1,7,4,4,3,10
111,263,67,129,3,39
0,6,1,62,73,18
11,0,2,19,0,3
59,43,31,1019,750,801
11,243,129,63,53,17
0,23,7,193,123,37
17,24,26,22,44,25
0,0,0,1,0,0
14,7,9,10,10,11
3,4,0,1,0,3
15,10,5,411,277,100
0,2,0,1,0,0
74,221,107,100,156,145
1025,561,1128,397,418,741
1,0,0,0,0,0
56,64,70,48,54,30
13,31,53,33,40,22
20,23,72,48,35,45
402,176,176,103,28,29
0,0,0,0,0,0
0,1,0,0,0,1
5,9,1,14,7,1
291,664,264,355,389,272
6,6,6,487,324,249
472,260,325,404,224,180
590,415,381,363,393,379
7,4,20,11,9,4
5,0,14,11,2,1
127,222,80,555,478,399
63,207,35,536,1215,788
213,255,404,243,727,554
107,227,160,110,196,159
0,4,22,45,24,57
246,324,110,144,19,36
0,0,0,0,0,0
9,1,2,4,5,16
206,190,167,180,87,198
14,109,109,56,157,194
158,174,256,46,61,37
320,168,329,164,488,173
96,206,64,49,164,71
0,0,0,0,0,0
0,0,1,0,0,0
422,90,567,140,127,488
135,79,56,93,42,76
0,0,1,2,0,1
90,116,102,97,80,85
229,289,228,239,248,207
331,286,128,184,150,82
182,111,49,131,108,120
68,341,81,157,404,197
1076,4663,770,2749,1736,1069
136,514,332,712,170,175
8,65,8,50,19,32
71,91,75,37,70,55
11,33,44,68,27,23
80,77,84,42,67,104
2,0,0,0,1,0
1,43,88,67,60,37
0,0,0,0,0,0
7,37,9,9,6,8
43,107,76,71,34,106
63,74,57,56,62,44
381,289,465,405,271,341
2126,1507,2174,1463,673,1048
2,38,4,7,7,10
32,9,9,1,0,0
169,857,1783,223,2112,218
967,148,3603,406,198,975
736,702,930,607,164,407
651,915,735,816,791,680
1953,2048,2448,1072,364,921
0,0,0,0,0,0
44,62,71,32,47,57
1,14,8,51,38,6
4,1,4,5,3,2
23,23,14,16,11,20
0,0,0,1,0,0
9,14,22,17,10,17
11,73,18,27,50,27
4,3,7,6,19,8
323,389,324,320,628,151
21,74,76,42,10,11
269,79,144,364,313,130
361,400,417,680,492,945
4,0,2,43,271,74
3,0,2,3,4,3
48,43,33,47,19,35
275,296,380,75,92,58
1095,913,762,164,66,152
489,329,404,24,29,22
0,2,1,0,4,0
47,177,115,41,34,86
0,0,0,0,0,0
106,131,48,139,43,169
59,28,20,66,87,40
6,0,2,0,0,4
1232,330,2034,1008,2170,962
2,6,1,5,3,2
140,44,150,1,7,4
48,108,91,103,102,1
1,1,0,1,2,0
0,0,0,0,0,0
293,509,1131,829,625,235
2,1,1,2,6,0
113,191,108,58,26,50
571,842,604,803,649,672
122,152,112,137,117,149
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,3,0
0,10,0,249,9,1
18,26,28,28,43,21
82,101,64,158,114,109
1860,2104,1875,1246,1761,1202
2,9,3,0,0,0
54,42,56,61,34,32
10,28,40,31,19,14
624,597,400,724,521,713
0,0,0,0,0,0
122,114,75,88,120,66
153,161,126,168,223,133
259,219,173,91,151,302
204,208,354,359,372,171
720,873,678,815,698,655
3,0,0,119,114,60
120,82,38,31,31,62
0,0,0,0,0,0
347,250,244,199,283,68
56,95,46,218,19,835
12,20,7,3,5,0
98,119,118,135,119,118
0,0,0,4,3,2
15,33,16,31,10,78
1,1,0,20,10,12
102,2408,69,368,1370,63
1,0,1,1,1,0
109,221,144,110,144,154
353,580,283,353,244,241
12,0,1,2,6,5
389,223,274,933,882,670
236,756,540,400,700,366
1,6,15,22,13,60
106,477,237,133,127,72
156,68,276,108,90,162
134,30,85,64,8,32
397,509,408,446,434,381
2,4,2,2,0,0
35,82,55,408,52,168
2327,2255,2884,3706,1997,2785
0,0,3,16,15,22
46,63,46,47,81,76
0,0,74,0,7,0
630,676,693,699,750,580
32,7,22,56,5,52
62,100,109,75,90,52
4,1,2,1,0,2
26,78,44,605,696,712
0,0,1,0,2,1
9,7,2,3,5,7
64,14,288,484,120,27
404,197,1089,2829,1948,6797
22,41,42,32,41,31
0,0,1,0,2,0
939,494,236,504,1449,901
0,0,0,0,0,0
2,4,1,0,2,2
43,65,35,82,45,14
239,316,223,79,158,211
1074,1200,1296,1654,449,1021
1,0,0,1,1,0
85,153,61,809,138,531
0,0,0,0,0,0
17,7,23,21,18,7
0,0,0,0,0,0
0,0,0,0,0,0
12045,8066,5003,9,149,18
0,0,0,0,0,0
1,0,0,0,0,0
271,337,355,264,309,183
1,4,4,7,9,8
1391,439,1813,1444,711,970
50,34,155,19,64,26
0,0,0,0,0,0
2,20,9,29,4,13
543,1069,817,2078,251,132
1182,1125,596,1014,1359,1051
324,689,611,415,652,520
401,451,16,133,79,816
0,0,1,0,0,0
63,18,101,68,26,62
0,1,0,0,0,0
13,36,29,1,44,15
1,2,3,2,4,3
2,2,2,5,1,0
8,8,2,6,5,3
218,232,124,161,196,182
16,118,70,45,18,55
22,7,25,19,12,12
10,4,9,5,8,13
9,15,16,15,15,11
132,15,15,10,4,9
36,12,5,0,12,4
413,432,319,240,517,932
0,0,0,0,1,2
43,34,22,38,26,12
89,12,30,14,9,35
48,48,45,11,7,9
191,305,182,30,172,24
697,425,449,299,309,196
0,0,0,0,0,0
2,0,2,0,0,3
9,6,23,2,2,0
356,350,325,339,331,290
28,24,46,38,152,138
7,21,5,316,351,209
24,8,10,11862,843,2129
319,133,180,184,106,608
8,18,9,11,5,13
41,68,25,57,33,43
266,579,305,6,4,6
475,1434,1591,305,1942,1035
32,0,40,119,148,9
2612,932,2590,173,185,97
0,0,0,0,0,0
1,6,1,5,4,4
399,267,297,54,80,56
10,24,5,17,56,1
708,954,350,133,352,203
226,118,258,220,260,155
2,1,0,0,0,0
0,0,0,8,1,17
502,540,535,499,525,464
206,227,328,286,217,190
746,185,1401,591,287,1324
75,227,61,4115,2555,5173
437,526,175,660,1162,72
3158,1004,1691,1757,1672,356
0,2,1,0,1,0
82,142,114,33,161,128
23,20,19,294,235,454
1,7,6,3,10,4
13,14,20,6,25,32
0,0,0,0,0,0
8,14,17,1,2,2
2,0,0,0,1,2
1,1,4,2,1,1
48,46,445,107,365,83
144,58,143,59,26,92
341,421,442,872,382,1424
103,13,42,11,12,41
91,697,692,285,1197,240
16,13,7,19,19,18
0,0,0,0,0,0
11,42,27,47,82,25
621,136,112,526,332,477
243,175,447,642,55,484
6,7,10,43,87,124
8,16,13,12,13,14
61,30,44,750,1236,457
974,1069,1276,1224,1492,1058
0,0,0,0,0,0
109,118,75,159,181,105
0,0,0,0,0,0
69,77,114,99,78,52
31,69,49,37,58,38
