"sample1.1","sample1.2","sample1.3","sample2.1","sample2.2","sample2.3"
1086,960,871,505,520,1937
43,192,85,163,546,344
41,46,26,40,18,93
21,27,12,38,28,12
20,14,18,11,14,26
0,0,0,0,0,0
0,1,0,0,0,0
53,57,14,27,29,42
599,2061,1212,1016,944,995
942,953,667,590,974,902
37,127,151,123,90,302
4,36,22,161,448,51
280,232,175,295,419,234
330,228,23,3,2,0
41,37,24,70,56,67
93,44,312,80,170,184
0,1,0,0,0,0
1896,617,932,1696,628,1726
4767,64,452,3781,4,3460
878,2197,3107,151,109,109
24,23,5,1,4,7
0,0,0,0,0,0
75,11,7,18,12,26
207,881,1033,6,19,3
0,1,0,0,0,0
77,82,98,4,6,4
0,1,1,0,0,1
0,0,0,0,0,0
207,154,377,217,34,69
0,0,0,0,0,0
1204,2828,1815,839,868,1994
3448,7567,1290,300,11,262
9,42,9,14,191,39
63,67,64,59,72,78
0,1,0,0,0,1
1344,447,920,172,48,142
236,330,275,75,68,80
1,0,0,0,0,0
173,163,112,173,172,171
0,0,0,0,0,2
236,162,148,383,648,472
4,22,7,4,14,10
721,1290,185,1465,40,395
6,8,2,3,5,15
4,3,1,3,5,2
66,18,44,80,85,155
109,83,95,129,162,243
0,0,0,0,1,1
14,31,40,6,34,33
617,623,445,454,497,581
196,104,37,311,228,120
698,375,645,450,1712,1173
403,321,134,483,509,378
0,3,1,3,0,0
3,7,9,10,7,5
162,204,113,146,157,148
1912,322,332,233,1469,49
400,134,701,121,131,118
188,157,145,190,191,142
0,0,0,0,0,0
387,523,332,271,452,331
11,8,8,36,102,72
3,1,2,1,1,2
813,633,691,115,80,97
1981,2300,1768,1927,2617,2175
60,28,50,3,17,139
42,27,82,7,11,5
2760,4272,885,180,85,221
494,361,386,498,504,287
423,132,280,127,78,497
9,9,10,303,146,454
0,0,0,0,0,0
182,575,351,7,2,1
1,13,6,13,18,5
646,809,974,1506,838,516
13,4,3,9,7,7
105,82,71,88,100,83
0,0,0,0,0,0
0,0,0,0,0,0
1623,1283,1192,1445,1458,1506
51,200,117,234,163,101
39,2,122,22,52,33
72,73,51,44,49,71
56,33,15,36,20,77
23,251,219,162,125,81
238,294,186,727,115,1147
49,30,49,14,66,55
11,14,11,6,18,2
0,0,0,0,0,0
311,213,141,117,83,180
89,3,3,121,8,88
1,2,1,2,0,1
700,234,39,64,348,339
2,0,3,2,0,1
192,156,58,357,79,349
0,0,0,0,0,0
832,466,343,1018,494,262
3,3,8,11,5,3
0,0,0,0,0,0
20,11,10,17,12,24
415,221,508,23,34,23
502,400,44,693,1868,496
0,3,1,0,4,2
6,4,11,3,4,14
113,100,86,111,110,63
380,545,602,5,8,20
1098,1883,886,826,998,905
1,4,4,8,0,5
1074,474,532,2454,1144,35
10,31,50,56,181,8
218,74,72,200,172,199
18,3,10,0,0,0
923,121,486,584,920,2121
27,31,30,55,44,12
55,93,42,2802,4307,2417
6,10,9,15,11,4
224,234,166,10,49,3
8,5,3,5,6,8
1,0,0,1,0,0
0,1,1,0,0,0
2,0,0,0,0,0
55,58,44,35,52,73
2,2,2,0,0,0
65,42,104,83,28,65
1528,1118,903,61,36,60
129,222,101,67,40,103
1,0,9,0,1,0
94,42,37,87,79,51
1326,366,239,898,84,626
539,562,343,427,438,198
14,6,5,21,6,7
0,0,0,0,0,0
6,10,0,90,0,2
2,1,2,8,7,3
168,270,155,238,354,205
0,6,564,72,2,63
123,219,110,162,149,111
101,10,125,748,150,239
2056,2469,2935,1337,586,961
0,0,0,0,0,0
337,582,68,205,137,283
1401,1087,1920,1044,1668,1807
2003,1682,1006,1669,1037,1175
0,0,0,0,0,0
23,10,21,12,22,30
112,156,59,177,222,167
2,6,1,3,11,1
5,8,75,220,188,63
204,635,607,295,488,443
7,4,4,4,2,3
42,4,213,20,220,37
639,253,705,296,554,1818
1639,700,1536,618,659,1405
2,7,14,4,1,2
785,621,616,697,923,788
9,12,5,11,14,11
676,872,1022,324,293,237
5,3,4,6,2,9
22,19,27,72,73,74
0,0,1,6,6,3
0,0,0,0,0,0
122,272,151,206,166,180
21,28,19,37,32,34
0,0,0,1,0,0
0,0,0,0,0,0
18,15,17,50,38,30
0,0,0,0,0,1
263,155,193,229,384,218
4,3,5,3,5,4
15,16,16,13,17,41
18,6,51,42,12,5
13,28,159,13,115,37
2,3,2,0,0,1
53,17,17,3,10,42
261,783,425,8,30,27
381,274,421,404,388,346
52,14,19,49,54,8
226,268,161,277,10,57
123,126,105,23,28,10
127,179,144,2,4103,126
3,3,4,2,2,1
69,26,40,375,544,363
360,60,396,731,384,563
1,3,3,0,2,1
16,16,19,16,24,14
25,48,47,49,73,35
8,4,7,2,17,24
22,60,35,4,2,5
0,0,0,0,1,0
135,33,57,0,1,0
11,6,9,14,10,15
445,518,510,556,569,487
2,8,4,3,5,6
1,2,1,3,0,0
32,1,1,119,2,222
27,28,32,67,55,24
6,8,6,7,11,5
6,6,4,7,10,7
2,5,0,1,1,0
432,645,191,402,628,608
1955,1871,1617,1957,2087,1505
24,53,72,14,100,46
113,53,40,228,404,103
1266,1301,1029,1801,3503,2623
503,289,531,309,1342,718
1415,556,256,582,44,39
7,14,13,11,13,16
362,152,309,362,505,211
162,19518,0,3089,16110,3
792,317,182,17,48,8
980,1206,883,24,13,34
16,17,10,13,16,12
34,32,23,3,1,1
114,229,320,98,190,328
0,1,0,4,2,3
50,19,55,131,162,55
414,508,68,209,664,403
276,203,78,69,47,110
6,71,752,55,22,6
17,17,11,1,2,4
23,5,8,37,1,4
698,660,536,665,580,395
0,0,0,1,1,0
64,152,405,286,499,689
24,40,14,5,20,1
273,183,148,146,600,82
146,72,167,994,748,1000
3,1,1,2,5,5
2,1,0,1,0,2
23,15,94,8,11,32
11,3,4,30,28,47
79,59,56,70,71,97
4,5,0,0,0,0
2763,490,1621,2308,4692,1577
455,199,209,336,241,394
0,1,6,11,19,10
27,26,65,167,126,64
2,2,1,4,11,4
23,15,16,4,13,18
1,0,0,0,2,0
21,29,22,0,1,1
219,390,327,120,301,213
15,16,13,8,12,29
341,20,117,80,7,23
97,58,104,89,107,88
342,412,359,370,430,348
0,0,0,0,0,0
29,74,58,86,35,77
2,1,1,3,2,0
33,45,44,1,7,7
0,0,0,0,0,0
148,237,4,3,2,2
0,0,0,0,0,0
13,43,57,6,70,16
0,0,0,0,1,0
2,2,4,5,1,3
0,0,1,0,0,0
0,0,0,0,0,0
61,99,48,94,94,180
10,55,27,13,16,17
1155,1517,2077,40,91,102
769,3487,1,1901,536,123
412,443,436,11,16,18
12,11,10,6,16,6
0,0,0,0,0,0
649,515,476,590,965,461
214,263,226,300,246,313
2,0,3,2,2,1
19,277,125,240,131,14
2,8,20,7,6,3
667,864,806,759,1020,831
42,15,14,49,43,188
126,164,0,56,758,59
53,53,58,70,62,71
8,8,12,2,1,0
18,39,0,0,0,0
6,5,12,1,5,3
0,1,0,0,0,0
0,0,0,1,0,0
425,2129,656,69,102,273
1892,3148,968,577,780,3364
4,5,6,8,6,3
0,0,0,0,0,0
118,43,285,381,8,74
105,143,49,120,50,248
180,83,542,1040,685,37
79,480,1642,1687,131,886
0,1,0,0,1,0
48,31,26,26,10,25
244,529,287,65,74,89
0,0,0,0,1,1
58,200,96,93,26,39
13,9,4,7,10,7
1,1,4,0,0,0
186,105,40,165,373,64
158,65,10,25,40,197
25,321,166,11,1,8
101,95,66,13,20,14
0,0,0,0,0,0
7,20,9,8,24,20
2,1,0,4,0,1
175,170,139,156,1,87
0,0,0,0,0,1
70,117,45,33,131,83
945,470,564,566,716,817
1,0,0,0,0,0
76,51,46,35,72,56
99,13,9,31,59,24
104,67,37,51,130,36
24,62,74,87,91,50
0,0,0,0,0,0
1,1,6,0,0,0
42,16,13,2,0,5
311,586,358,230,259,512
79,127,69,11,23,23
334,264,166,212,193,199
512,404,581,547,419,516
19,10,15,4,2,24
16,14,39,0,0,0
199,267,374,191,240,534
579,313,89,135,334,132
8449,2768,687,0,329,109
133,203,157,118,118,130
2,18,8,40,1,38
73,76,89,87,30,60
0,0,0,0,0,0
8,5,10,6,4,1
111,107,183,195,204,196
100,261,110,109,91,47
89,73,60,84,138,220
306,240,275,304,491,609
94,62,29,631,130,27
0,0,0,0,0,0
0,0,0,0,0,0
751,30,192,269,312,255
564,379,802,44,31,6
2,0,0,0,6,0
79,73,85,68,128,96
266,248,219,195,276,207
94,55,121,7,130,15
108,160,67,96,101,51
403,163,178,194,474,348
324,105,369,581,49,471
214,140,423,434,82,32
30,22,32,38,30,41
79,61,49,52,52,65
37,45,46,58,82,74
256,291,269,9,14,30
0,0,0,0,0,0
34,74,14,49,64,47
0,1,0,0,0,0
8,2,2,0,17,14
64,39,40,64,169,87
56,56,61,56,74,42
482,478,430,393,253,312
1366,1405,818,1570,2150,3277
5,12,20,3,16,4
1,4,0,10,0,0
66,110,576,181,479,203
508,748,218,1120,4,876
425,832,573,288,654,705
3984,4284,3627,172,179,129
1025,1364,480,1352,856,672
1,0,4,0,0,0
52,47,52,61,100,64
28,1,13,27,23,11
4,4,3,5,6,5
16,23,6,3,14,8
0,0,0,1,0,0
7,21,22,10,16,21
39,10,33,43,48,15
7,10,5,10,7,7
298,144,130,39,356,160
4,50,8,31,24,10
92,143,48,1214,520,905
276,314,576,122,760,191
27,31,13,11,6,48
5,1,2,3,12,1
34,41,61,48,20,72
187,179,210,189,306,221
226,360,320,246,396,346
104,147,88,71,128,65
1,0,3,2,6,0
82,206,23,69,35,71
0,0,0,0,0,0
292,43,251,10,29,24
35,9,66,26,44,27
4,0,1,4,4,1
937,2783,327,55,484,191
5,5,3,7,8,0
69,72,124,8,14,8
53,110,6,13,101,98
2,1,1,0,1,2
1,0,0,0,0,0
754,427,818,214,428,371
2,0,0,1,0,1
74,63,60,170,145,28
528,817,788,522,859,682
138,136,107,79,103,90
0,3,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
66,26,39,26,2,2
44,40,24,27,71,51
136,193,150,107,156,177
1091,1269,893,1372,2020,1009
1,0,0,0,0,0
46,32,54,55,49,54
61,56,121,8,8,7
676,485,409,674,607,850
0,0,0,0,0,0
40,57,72,120,119,61
191,142,209,109,168,109
239,1267,211,88,436,505
277,302,174,376,440,292
846,788,852,795,943,789
15,16,11,7,17,5
64,97,54,95,34,55
1,0,1,0,0,2
204,167,258,230,306,197
210,383,235,329,299,484
2,0,2,17,20,14
149,100,100,107,154,131
1,0,0,0,1,2
57,17,133,29,46,228
1,4,0,3,1,4
3166,1082,1120,242,97,8
1,0,0,0,1,0
97,158,148,163,193,138
349,980,374,171,145,151
2,5,7,8,10,2
1134,937,595,336,352,357
518,469,932,372,296,428
64,78,66,35,58,26
268,372,353,46,216,386
150,345,309,204,199,304
65,68,58,72,139,111
1488,1649,1292,109,131,108
1,1,1,3,2,1
49,36,119,64,86,56
1909,2601,1457,3396,4945,3190
5,0,1,0,12,1
40,41,48,52,68,32
58,11,86,0,1,0
667,664,611,725,811,662
90,43,68,22,2,7
92,85,77,69,92,92
1,0,2,0,0,1
143,205,68,156,126,62
2,1,2,0,0,1
38,102,51,1,1,0
11,13,21,50,23,42
775,2073,747,4389,1841,1172
30,39,29,38,37,35
0,1,0,1,0,2
912,988,713,1050,502,1102
0,0,0,0,0,0
2,1,0,3,1,1
48,20,14,69,16,12
147,151,86,271,119,282
548,683,517,442,900,1018
0,0,0,2,2,0
295,166,213,400,498,209
0,0,0,0,0,0
20,25,11,27,22,5
0,0,0,0,0,1
0,0,0,0,0,0
581,641,45,766,179,442
0,0,0,0,0,0
0,1,0,2,0,1
276,205,235,313,360,278
12,1,1,0,1,1
469,1227,79,1410,614,400
225,298,276,10,12,36
0,0,0,0,0,0
7,13,4,15,0,20
328,405,1095,289,1096,1693
1122,1316,1389,2094,2425,996
468,601,972,829,323,446
206,594,27,314,310,50
1,1,1,0,0,0
16,66,30,21,52,23
0,0,0,0,0,0
12,77,14,30,38,16
2,0,1,2,0,1
1,0,3,1,4,2
9,4,11,4,5,4
282,144,147,62,214,128
30,67,60,3,42,7
4,9,18,5,11,24
11,11,8,5,8,11
17,11,12,23,12,14
45,4,57,41,10,41
49,117,16,12,7,31
6119,2189,2680,34,47,213
0,0,0,0,1,0
41,68,70,35,17,15
14,31,17,85,5,87
91,99,55,10,5,10
9,5,113,50,130,157
233,404,258,463,611,339
0,0,0,1,0,0
1,3,4,1,4,3
11,3,3,6,6,5
533,540,500,272,264,193
204,362,232,7,17,13
45,37,66,6,19,79
766,172,354,612,920,222
214,26,189,64,32,427
20,6,9,12,13,9
35,22,33,11,38,57
83,27,44,32,36,68
337,1225,726,1881,2197,2445
253,26,0,156,38,50
259,378,541,186,359,221
0,0,0,0,0,0
12,17,27,0,0,0
113,139,148,104,202,135
8,0,10,8,30,38
496,187,595,490,268,425
128,132,130,101,230,165
0,0,1,0,0,1
1,1,0,2,0,1
512,498,458,464,590,434
171,255,184,230,280,216
480,1029,337,567,292,118
154,690,2912,171,1411,1517
640,295,506,234,185,952
457,441,1494,1830,1506,817
0,1,0,0,0,0
121,66,19,51,43,26
24,57,65,84,130,53
4,13,13,5,5,11
11,4,0,135,13,159
0,0,0,0,0,0
9,10,18,0,2,0
1,7,4,0,0,0
0,3,1,3,0,3
119,573,93,95,286,226
38,20,37,183,176,63
453,331,424,266,548,1325
110,3,21,26,122,81
258,845,300,621,266,187
17,13,9,25,13,16
0,0,0,0,0,0
47,66,19,72,23,73
1460,677,328,248,149,135
621,656,285,79,464,443
19,36,20,38,14,9
18,15,13,11,8,5
110,155,98,157,170,160
1122,1030,1148,1065,1676,1167
0,0,0,0,0,0
322,127,184,253,230,366
0,0,0,0,0,0
91,99,52,85,103,63
82,35,69,44,107,52
2,3,3,2,0,0
127,186,55,200,209,364
36,31,21,20,36,48
40,26,34,2,7,2
15,20,22,30,37,42
3,158,98,217,373,1
1,5,0,2,1,8
310,308,304,313,317,329
30,26,42,43,48,29
500,487,454,630,689,689
60,45,47,71,71,54
659,635,760,176,306,294
10,9,7,4,7,5
5,3,5,6,19,4
258,351,281,347,521,361
1,4,2,2,1,0
0,0,0,0,0,0
16,46,4,0,35,70
61,84,61,70,136,99
1073,1364,1018,9,11,6
15,9,11,8,11,16
0,673,1,124,101,10
188,177,228,389,328,162
0,0,0,0,0,0
828,730,634,1112,820,633
0,0,2,0,0,0
59,89,51,97,86,78
297,136,175,220,395,256
0,0,0,0,0,0
0,2,1,0,0,0
11,32,23,33,32,2
33,35,23,28,22,42
8,13,4,15,14,9
560,335,147,597,811,432
94,78,56,80,92,66
11,1,17,8,0,1
3,0,0,2,1,1
287,400,298,435,386,255
1576,987,440,30,62,74
1,15,2,3,1,37
2320,1841,760,740,617,578
23,212,231,772,211,91
1155,1207,1778,422,582,1061
12,11,6,8,16,7
556,431,387,93,84,60
9,24,20,7,6,8
0,0,0,1,1,2
179,232,191,24,568,134
192,1430,1004,455,370,229
669,1022,707,915,617,898
151,1449,579,199,1759,601
35,33,31,31,46,30
42,20,23,21,6,13
740,1274,934,639,780,584
15,21,24,14,44,13
24,8,11,9,1,5
0,0,0,0,0,0
0,0,0,0,0,0
251,314,239,261,365,335
63,163,131,81,104,135
2928,1747,1967,71,568,603
72,59,52,36,12,17
1154,476,1758,1154,1988,1930
10,11,14,9,6,8
245,927,138,16,64,21
1261,1500,1374,787,776,1369
14,401,96,14,91,150
0,0,0,0,0,0
2,0,0,2,1,2
0,1,0,0,0,0
5,1,2,9,5,5
923,843,716,822,763,614
18,18,14,14,8,11
1374,735,1183,1157,1556,1074
381,441,318,499,532,418
13,15,10,21,12,19
357,85,142,170,120,126
482,909,189,780,940,607
62,46,65,1,0,2
113,10,22,51,23,39
0,186,32,7,2,87
1,2,3,3,4,4
0,0,0,0,0,0
197,120,125,231,120,149
1,0,1,1,0,0
0,0,0,0,2,0
49,9,25,17,82,56
0,0,0,0,0,0
49,3,41,39,92,25
82,104,80,92,341,88
0,0,0,0,0,0
13,36,22,14,11,44
0,0,0,0,0,0
7,5,7,6,11,10
35,15,24,38,31,42
4,5,4,3,2,1
65,72,55,22,61,38
7023,2824,4395,165,174,129
0,5,0,0,8,3
424,406,324,18,18,22
88,30,63,19,18,20
215,191,446,134,618,197
39,35,14,29,19,9
83,120,94,62,91,72
35,21,25,0,26,3
533,1441,711,3552,7513,1641
63,59,50,0,1,1
20,382,278,280,361,372
92,121,127,163,164,94
151,186,68,314,268,212
1,3,0,7,16,3
60,88,96,91,89,71
46,82,47,57,50,54
0,0,0,0,0,0
334,282,719,39,109,8
3,13,16,112,1,6
0,1,1,0,0,0
330,328,923,341,72,282
0,0,0,1,0,0
28,23,29,42,26,39
182,739,83,372,422,220
11,14,60,22,41,27
1,0,0,0,0,0
81,193,114,76,98,73
29,116,115,462,38,0
16,246,184,682,270,437
768,866,76,70,163,148
109,119,159,196,286,172
4,14,0,1,0,10
8060,7186,6917,152,450,200
8,262,674,1102,5,481
785,394,699,725,612,515
0,0,0,0,0,0
4,0,4,0,1,4
0,0,0,0,0,0
3,11,7,17,71,18
20,10,7,6,6,5
17,11,5,7,14,13
0,0,0,0,0,0
0,0,0,1,0,0
86,360,405,189,431,248
0,3,0,1,1,1
92,74,110,80,127,94
19,78,75,30,35,41
79,76,58,88,104,72
255,183,870,754,220,1056
1463,64,313,632,388,480
0,0,0,0,0,0
0,1,0,0,0,0
187,209,253,237,217,219
231,159,166,5,12,3
5,3,3,6,5,4
276,210,203,314,352,196
69,228,126,264,367,116
7,0,1,6,7,1
588,547,1070,1540,661,1003
143,231,174,172,252,108
34,67,32,86,106,72
0,0,1,0,0,0
1049,633,594,804,521,566
1027,847,741,1652,830,602
1,4,2,2,1,2
88,161,68,11,13,4
1,2,4,0,1,2
1,3,7,9,4,2
107,1550,1120,20,40,24
67,53,79,69,76,92
30,21,19,53,31,88
0,0,0,0,0,0
1070,905,763,2042,2314,2149
710,5269,8321,123,499,108
0,0,0,0,0,0
275,4166,6733,8,17,32
377,624,329,267,568,584
45,28,43,26,43,18
548,738,721,393,342,1109
7,14,1,9,10,15
1,6,1,8,4,9
1,3,1,0,0,0
7,35,5,7,4,86
109,152,531,330,162,214
242,8,25,101,242,153
1,1,2,0,0,2
3,2,2,0,0,3
256,243,482,670,414,122
67,144,43,137,156,31
1,19,338,311,31,194
8,8,9,11,14,5
50,132,94,52,227,130
31,30,43,57,72,44
11,26,6,11,8,13
196,77,85,99,134,126
2,1,0,40,38,44
0,1,2,0,0,0
105,120,128,1097,1259,915
2036,1912,1513,1827,2161,1896
41,79,109,84,306,171
875,1024,1554,1132,1723,923
72,178,96,76,91,136
37,166,230,122,62,3
13,4,3,15,11,0
10,15,30,10,18,11
102,250,832,603,790,337
38,45,54,0,1,0
34,42,28,29,35,17
128,379,506,660,350,142
0,0,0,0,0,0
772,790,625,1801,744,887
1,1,1,1,1,1
29,50,43,1419,154,743
0,2,2,0,1,1
0,0,0,0,0,0
1031,130,67,179,344,198
736,309,197,106,872,633
166,36,242,13,18,17
2,0,3,0,0,0
3,0,1,0,0,1
32,33,32,19,54,80
609,757,657,661,769,514
133,136,61,129,146,212
310,240,211,323,220,275
23,11,12,0,1,1
4,25,112,3,26,39
0,1,1,0,0,0
1,1,1,4,4,1
124,48,29,27,38,112
11,6,4,42,31,37
753,1120,466,820,1382,967
0,0,0,0,0,0
30,27,31,16,18,9
0,0,0,0,0,0
4,2,5,8,14,5
0,0,0,0,0,0
632,500,2795,418,37,383
80,54,47,5,7,1
636,316,911,798,2431,1598
18,7,17,6,12,18
107,104,88,7,12,9
87,76,104,73,94,127
0,1,0,44,102,126
528,120,196,2149,1592,301
302,217,18,186,11,337
0,0,0,2,0,0
849,771,1246,77,152,79
38,35,32,26,13,32
5846,4499,998,327,245,5033
5,2,3,3,4,5
0,0,0,0,0,0
0,1,0,1,0,0
750,310,112,733,6878,5187
0,0,0,0,0,0
21,473,1430,155,166,270
0,0,0,0,0,0
0,0,0,1,0,2
731,1060,1819,59,36,36
20,41,37,25,38,47
187,75,41,80,155,221
1,5,1,0,5,1
5,3,5,4,6,6
288,15,10,43,106,126
0,0,0,0,0,0
59,80,58,66,31,45
8,9,9,1,0,41
0,2,4,4,0,1
0,0,0,0,0,0
82,40,387,100,103,305
30,448,33,30,164,77
24,529,70,175,323,692
44,32,79,5,30,59
177,3,77,112,419,666
8,0,11,3,1,1
477,501,470,600,746,571
424,115,4,45,697,7
7,1,0,0,8,9
482,873,2750,36,64,21
15,17,38,8,5,10
1709,264,1083,760,350,838
1,2,1,0,2,1
5,1,6,0,0,7
3,6,1,0,4,3
1,0,0,0,0,0
278,269,726,273,433,108
345,36,444,479,328,231
108,47,68,39,74,183
93,49,63,68,94,177
0,0,0,0,0,0
668,1093,725,825,619,716
0,0,0,0,0,0
63,290,11,180,157,143
899,786,201,2378,1418,342
174,48,406,304,506,71
95,52,204,247,100,225
719,245,320,341,670,373
488,1388,285,1093,232,385
377,529,507,516,816,515
721,476,553,570,793,350
462,448,246,337,314,674
2,1,3,1,0,0
567,398,194,179,116,158
118,1,496,59,48,46
0,0,0,0,0,0
365,543,698,740,736,751
130,134,116,267,170,240
1,1,0,0,0,0
5,3,14,0,20,147
10,12,18,7,5,20
7,6,8,7,7,13
3,4,7,41,103,0
0,0,0,0,0,0
6,9,12,8,17,6
1122,764,1310,1603,841,1438
25,30,20,34,23,21
0,0,0,0,0,0
0,0,0,0,0,0
286,242,299,213,365,208
100,78,60,68,162,407
115,151,33,59,46,48
24,41,57,43,56,27
1,0,2,0,1,0
0,0,0,0,2,0
205,354,401,1419,277,360
549,698,726,15,11,11
5,12,5,9,12,7
7,3,4,4,5,1
98,21,4,39,7,56
0,0,1,0,0,3
24,24,8,122,12,34
3,1,0,35,38,13
147,283,385,323,437,340
325,289,317,16,12,10
9,11,3,32,17,10
62,105,148,88,18,120
171,543,194,54,67,25
206,495,185,122,294,199
1,0,2,1,1,0
70,62,40,35,67,44
317,120,172,89,199,182
7,24,10,44,77,40
1,0,0,0,0,0
8,13,14,5,23,23
0,0,1,0,0,0
0,1,2,0,1,0
125,93,95,120,122,193
85,58,46,53,65,99
70,365,133,109,114,160
9,16,62,89,193,32
463,375,332,90,76,83
0,0,1,1,0,2
5,7,7,34,89,48
0,0,0,0,0,0
3754,885,1845,187,162,243
56,64,69,51,77,48
0,0,0,1,2,0
0,0,0,1,0,0
5,3,14,6,7,4
482,1062,1687,1645,680,944
11,1,18,7,142,35
1729,2722,1542,665,2094,1492
80,771,82,7,53,17
64,71,1,0,12,1
88,123,103,104,104,51
223,352,124,247,90,318
4,4,0,8,4,2
11,9,11,8,13,15
3,2,3,3,4,1
74,30,47,11,60,83
0,0,0,0,0,0
479,191,200,782,1039,569
0,0,0,0,0,0
45,97,114,148,130,114
68,122,137,72,134,213
41,47,9,6,155,58
454,258,338,514,506,604
0,0,0,0,0,0
3,0,3,1,11,9
8,13,5,16,16,27
11,6,5,12,17,8
11,5,9,13,2,16
1992,631,2299,2015,1318,2276
93,98,51,89,52,112
1013,1685,614,160,1826,1120
8,2,4,3,6,2
880,244,302,406,775,488
3525,1874,2660,2767,2266,189
43,330,466,98,757,338
851,7321,1814,463,74,790
0,0,0,0,0,0
461,131,329,318,521,483
28,167,78,52,36,90
2,2,0,0,0,0
203,53,281,122,492,121
28,47,16,87,65,63
388,478,314,13,12,18
94,167,207,302,292,176
26,24,5,0,0,1
175,2709,548,580,7,1659
1063,1736,609,1490,1490,2585
798,1679,796,544,1147,898
66,62,57,18,200,135
1210,1370,836,1176,1307,955
241,646,732,663,893,601
0,0,0,0,0,0
48,73,53,1,0,0
65,45,66,100,72,106
9,1,2,13,1,1
97,265,76,207,281,225
1,1,0,0,1,0
16,233,388,174,116,212
10,13,3,7,14,18
54,994,128,265,754,20
96,98,89,93,134,84
120,105,117,159,127,94
979,1284,490,832,736,1044
17,21,14,18,14,42
8,3,4,0,0,0
83,112,100,1,1,2
131,38,67,83,86,191
1057,1155,714,1214,1513,2194
12,8,6,7,14,5
14,22,24,25,26,21
68,46,50,64,108,70
368,20,332,368,160,119
200,97,105,125,203,170
297,250,145,204,176,229
728,1675,2323,1116,2311,2381
1,0,4,0,2,1
82,191,36,15,28,31
660,664,585,678,784,628
22,20,22,19,26,23
23,30,14,20,22,12
106,116,8,1,0,2
16,32,14,10,26,15
1,0,0,1,0,0
1652,1411,1534,718,175,324
0,0,0,0,0,0
0,1,0,2,4,0
17,9,23,14,4,5
1235,906,764,574,401,670
293,454,220,148,205,275
0,0,0,0,0,0
1637,1352,1341,242,473,276
98,107,59,409,745,277
170,298,38,149,252,17
1330,868,990,869,751,2000
425,19,133,65,2,15
4,4,5,5,2,2
16,10,21,11,6,39
0,0,0,0,0,0
1,2,3,1,0,3
0,0,0,0,0,0
0,0,0,0,0,0
4,2,0,1,6,1
101,90,90,158,24,78
55,46,32,66,48,7
519,422,277,683,560,359
0,1,1,3,1,2
95,70,46,48,66,45
191,54,95,147,92,119
61,362,127,1279,1363,1111
537,358,407,562,395,309
31,15,16,30,31,21
6,8,4,12,7,8
264,211,149,151,131,219
350,280,153,320,287,318
53,18,20,66,44,19
6,7,9,3,0,5
67,27,37,63,55,20
453,486,390,361,713,426
67,36,58,38,85,64
0,0,0,0,0,0
385,1225,315,305,1534,697
1,5,2,8,1,5
199,164,43,119,250,101
0,0,0,0,1,0
304,272,189,393,544,351
337,210,288,247,522,494
0,0,0,0,0,0
35,1,10,9,0,14
561,602,532,550,593,708
1,1,2,0,2,5
