"sample1.1","sample1.2","sample1.3","sample2.1","sample2.2","sample2.3"
0,0,0,1,0,1
17,35,19,0,0,0
1,1,2,0,1,0
15,18,15,28,24,26
0,0,1,0,1,1
10,2,1,6,2,6
23,32,34,32,44,25
0,0,0,0,0,0
1045,1599,2843,34,194,200
29,13,25,26,17,30
7,10,8,12,19,10
507,446,554,742,1134,807
0,0,0,1,0,1
102,177,154,249,276,133
14,9,13,27,13,12
286,140,560,781,275,332
786,788,662,728,685,621
31,16,22,11,145,8
102,196,58,409,164,310
0,0,1,0,0,0
3,6,9,2,4,5
929,797,763,32,16,21
0,0,0,0,0,0
215,17,155,68,90,143
1685,1421,119,382,214,621
1,0,0,0,1,0
116,40,68,33,62,129
2096,410,4,126,28,204
5,3,1,1,1,0
283,675,398,18,19,40
111,79,150,645,157,1650
122,81,5,107,154,81
8,19,29,1,11,19
2,1,0,0,1,0
0,0,0,0,0,0
6,1,1,0,0,2
204,160,41,80,66,87
282,123,95,237,100,46
546,470,293,403,32,90
245,144,541,297,56,448
335,938,1035,647,319,1096
0,0,0,0,0,0
45,59,73,53,71,73
20,37,14,3,7,11
105,78,86,88,109,83
1,52,3,0,7,113
1861,1325,1545,1943,1832,1474
966,416,123,772,886,85
39,57,59,71,84,74
727,3577,748,419,505,400
189,294,114,16,6,21
397,340,374,461,487,426
3,7,4,4,5,5
349,400,263,463,606,776
130,419,158,237,98,137
29,22,14,19,28,25
0,0,0,0,0,1
163,160,128,61,88,93
378,339,337,360,454,365
12,27,8,10,14,34
11727,5732,6197,340,528,464
11,8,6,8,16,7
182,37,38,145,131,87
6,10,13,12,2,17
1,2,1,3,6,1
0,0,0,0,0,0
39,16,22,24,25,11
1,1,0,0,0,0
891,1216,154,673,2314,229
0,0,0,0,0,0
1,0,1,2,0,2
1761,1895,1676,1097,2275,2226
39,81,40,85,90,69
1,2,0,1,0,1
314,354,863,71,913,778
6,2,0,1,0,17
149,169,156,206,199,134
8,21,20,18,25,12
177,128,171,181,148,123
16,16,17,3,12,9
17,22,19,15,37,22
53,57,39,247,235,40
21,71,71,89,139,115
13,57,1238,30,175,180
0,0,0,0,0,0
1,0,0,0,0,0
147,111,142,90,140,169
0,1,1,4,6,7
332,399,270,254,563,301
15,13,8,14,19,18
